promotion_queue_id,suggested_oracle_character_id,suggested_bucket_directory,suggested_character_directory,candidate_class_id,source_id,primary_external_ref_id,source_category_id,source_category_id_padded,validation_class_id,candidate_label_crosswalk_id,source_modern_label_candidate,source_modern_label_codepoints,label_component_count,has_multi_component_label,source_category_member_count,source_category_row_ids,reported_decipherment_scope,suggested_decipherment_status,assignment_status,promotion_status,required_next_review,source_metadata_files,rights_status,caution,review_status,updated_at
hust-obc-obs-char-promo-000001,obs-char-000001,001_000001-000100_obs-char-bucket_oracle-characters,001_obs-char-000001_hust-obc-cat-0001_oracle-character,obs-cand-000001,src-hust-obc,hust-obc-cat-0001,0001,00001,0,hust-obc-label-xwalk-0001,⺀,U+2E80,1,false,1,hust-obc-src-cat-0001,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000002,obs-char-000002,001_000001-000100_obs-char-bucket_oracle-characters,002_obs-char-000002_hust-obc-cat-0002_oracle-character,obs-cand-000002,src-hust-obc,hust-obc-cat-0002,0002,00002,1,hust-obc-label-xwalk-0002,⺄,U+2E84,1,false,1,hust-obc-src-cat-0002,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000003,obs-char-000003,001_000001-000100_obs-char-bucket_oracle-characters,003_obs-char-000003_hust-obc-cat-0003_oracle-character,obs-cand-000003,src-hust-obc,hust-obc-cat-0003,0003,00003,2,hust-obc-label-xwalk-0003,⺆,U+2E86,1,false,1,hust-obc-src-cat-0003,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000004,obs-char-000004,001_000001-000100_obs-char-bucket_oracle-characters,004_obs-char-000004_hust-obc-cat-0004_oracle-character,obs-cand-000004,src-hust-obc,hust-obc-cat-0004,0004,00004,3,hust-obc-label-xwalk-0004,⺊,U+2E8A,1,false,1,hust-obc-src-cat-0004,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000005,obs-char-000005,001_000001-000100_obs-char-bucket_oracle-characters,005_obs-char-000005_hust-obc-cat-0005_oracle-character,obs-cand-000005,src-hust-obc,hust-obc-cat-0005,0005,00005,4,hust-obc-label-xwalk-0005,⺌,U+2E8C,1,false,1,hust-obc-src-cat-0005,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000006,obs-char-000006,001_000001-000100_obs-char-bucket_oracle-characters,006_obs-char-000006_hust-obc-cat-0006_oracle-character,obs-cand-000006,src-hust-obc,hust-obc-cat-0006,0006,00006,5,hust-obc-label-xwalk-0006,⺸,U+2EB8,1,false,1,hust-obc-src-cat-0006,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000007,obs-char-000007,001_000001-000100_obs-char-bucket_oracle-characters,007_obs-char-000007_hust-obc-cat-0007_oracle-character,obs-cand-000007,src-hust-obc,hust-obc-cat-0007,0007,00007,6,hust-obc-label-xwalk-0007,⺻,U+2EBB,1,false,1,hust-obc-src-cat-0007,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000008,obs-char-000008,001_000001-000100_obs-char-bucket_oracle-characters,008_obs-char-000008_hust-obc-cat-0008_oracle-character,obs-cand-000008,src-hust-obc,hust-obc-cat-0008,0008,00008,7,hust-obc-label-xwalk-0008,⺼,U+2EBC,1,false,1,hust-obc-src-cat-0008,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000009,obs-char-000009,001_000001-000100_obs-char-bucket_oracle-characters,009_obs-char-000009_hust-obc-cat-0009_oracle-character,obs-cand-000009,src-hust-obc,hust-obc-cat-0009,0009,00009,8,hust-obc-label-xwalk-0009,〢,U+3022,1,false,1,hust-obc-src-cat-0009,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-obs-char-promo-000010,obs-char-000010,001_000001-000100_obs-char-bucket_oracle-characters,010_obs-char-000010_hust-obc-cat-0010_oracle-character,obs-cand-000010,src-hust-obc,hust-obc-cat-0010,0010,00010,9,hust-obc-label-xwalk-0010,㐀,U+3400,1,false,1,hust-obc-src-cat-0010,deciphered_dataset_category,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,Validation_label.json;ID_to_Chinese.json,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
