bucket_sequence,unknown_candidate_id,primary_external_ref_id,packet_path,source_group,source_class_id,source_image_count,review_status,updated_at
001,obs-unk-006301,hust-obc-und-X-006301,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/001_obs-unk-006301_hust-obc-und-X-006301_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1857,1,reviewed_metadata_only,2026-06-10
002,obs-unk-006302,hust-obc-und-X-006302,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/002_obs-unk-006302_hust-obc-und-X-006302_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1858,1,reviewed_metadata_only,2026-06-10
003,obs-unk-006303,hust-obc-und-X-006303,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/003_obs-unk-006303_hust-obc-und-X-006303_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1859,5,reviewed_metadata_only,2026-06-10
004,obs-unk-006304,hust-obc-und-X-006304,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/004_obs-unk-006304_hust-obc-und-X-006304_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1860,1,reviewed_metadata_only,2026-06-10
005,obs-unk-006305,hust-obc-und-X-006305,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/005_obs-unk-006305_hust-obc-und-X-006305_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1861,1,reviewed_metadata_only,2026-06-10
006,obs-unk-006306,hust-obc-und-X-006306,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/006_obs-unk-006306_hust-obc-und-X-006306_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1862,2,reviewed_metadata_only,2026-06-10
007,obs-unk-006307,hust-obc-und-X-006307,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/007_obs-unk-006307_hust-obc-und-X-006307_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1863,3,reviewed_metadata_only,2026-06-10
008,obs-unk-006308,hust-obc-und-X-006308,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/008_obs-unk-006308_hust-obc-und-X-006308_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1864,2,reviewed_metadata_only,2026-06-10
009,obs-unk-006309,hust-obc-und-X-006309,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/009_obs-unk-006309_hust-obc-und-X-006309_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1865,1,reviewed_metadata_only,2026-06-10
010,obs-unk-006310,hust-obc-und-X-006310,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/010_obs-unk-006310_hust-obc-und-X-006310_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1866,4,reviewed_metadata_only,2026-06-10
011,obs-unk-006311,hust-obc-und-X-006311,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/011_obs-unk-006311_hust-obc-und-X-006311_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1867,14,reviewed_metadata_only,2026-06-10
012,obs-unk-006312,hust-obc-und-X-006312,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/012_obs-unk-006312_hust-obc-und-X-006312_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1868,10,reviewed_metadata_only,2026-06-10
013,obs-unk-006313,hust-obc-und-X-006313,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/013_obs-unk-006313_hust-obc-und-X-006313_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1869,1,reviewed_metadata_only,2026-06-10
014,obs-unk-006314,hust-obc-und-X-006314,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/014_obs-unk-006314_hust-obc-und-X-006314_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1870,1,reviewed_metadata_only,2026-06-10
015,obs-unk-006315,hust-obc-und-X-006315,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/015_obs-unk-006315_hust-obc-und-X-006315_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1871,1,reviewed_metadata_only,2026-06-10
016,obs-unk-006316,hust-obc-und-X-006316,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/016_obs-unk-006316_hust-obc-und-X-006316_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1872,2,reviewed_metadata_only,2026-06-10
017,obs-unk-006317,hust-obc-und-X-006317,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/017_obs-unk-006317_hust-obc-und-X-006317_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1873,1,reviewed_metadata_only,2026-06-10
018,obs-unk-006318,hust-obc-und-X-006318,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/018_obs-unk-006318_hust-obc-und-X-006318_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1874,12,reviewed_metadata_only,2026-06-10
019,obs-unk-006319,hust-obc-und-X-006319,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/019_obs-unk-006319_hust-obc-und-X-006319_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1875,4,reviewed_metadata_only,2026-06-10
020,obs-unk-006320,hust-obc-und-X-006320,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/020_obs-unk-006320_hust-obc-und-X-006320_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1876,1,reviewed_metadata_only,2026-06-10
021,obs-unk-006321,hust-obc-und-X-006321,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/021_obs-unk-006321_hust-obc-und-X-006321_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1877,2,reviewed_metadata_only,2026-06-10
022,obs-unk-006322,hust-obc-und-X-006322,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/022_obs-unk-006322_hust-obc-und-X-006322_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1878,2,reviewed_metadata_only,2026-06-10
023,obs-unk-006323,hust-obc-und-X-006323,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/023_obs-unk-006323_hust-obc-und-X-006323_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1879,3,reviewed_metadata_only,2026-06-10
024,obs-unk-006324,hust-obc-und-X-006324,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/024_obs-unk-006324_hust-obc-und-X-006324_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1880,2,reviewed_metadata_only,2026-06-10
025,obs-unk-006325,hust-obc-und-X-006325,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/025_obs-unk-006325_hust-obc-und-X-006325_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1881,2,reviewed_metadata_only,2026-06-10
026,obs-unk-006326,hust-obc-und-X-006326,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/026_obs-unk-006326_hust-obc-und-X-006326_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1882,3,reviewed_metadata_only,2026-06-10
027,obs-unk-006327,hust-obc-und-X-006327,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/027_obs-unk-006327_hust-obc-und-X-006327_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1883,9,reviewed_metadata_only,2026-06-10
028,obs-unk-006328,hust-obc-und-X-006328,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/028_obs-unk-006328_hust-obc-und-X-006328_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1884,1,reviewed_metadata_only,2026-06-10
029,obs-unk-006329,hust-obc-und-X-006329,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/029_obs-unk-006329_hust-obc-und-X-006329_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1885,1,reviewed_metadata_only,2026-06-10
030,obs-unk-006330,hust-obc-und-X-006330,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/030_obs-unk-006330_hust-obc-und-X-006330_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1886,3,reviewed_metadata_only,2026-06-10
031,obs-unk-006331,hust-obc-und-X-006331,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/031_obs-unk-006331_hust-obc-und-X-006331_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1887,1,reviewed_metadata_only,2026-06-10
032,obs-unk-006332,hust-obc-und-X-006332,corpus/001_oracle-characters/080_undeciphered-006301-006400_obs-unk-bucket_oracle-character-candidates/032_obs-unk-006332_hust-obc-und-X-006332_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,1888,9,reviewed_metadata_only,2026-06-10
