glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000017-glyph-0001,obs-comp-cand-000017,obimd-glyph-link-000273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,名󰆉,U+540D;U+F0189,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0002,obs-comp-cand-000017,obimd-glyph-link-000274,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆊,U+F018A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0003,obs-comp-cand-000017,obimd-glyph-link-000275,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆋,U+F018B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0004,obs-comp-cand-000017,obimd-glyph-link-000276,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆌,U+F018C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0005,obs-comp-cand-000017,obimd-glyph-link-000277,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆍,U+F018D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0006,obs-comp-cand-000017,obimd-glyph-link-000278,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆏,U+F018F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0007,obs-comp-cand-000017,obimd-glyph-link-000279,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆐,U+F0190,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0008,obs-comp-cand-000017,obimd-glyph-link-000280,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆑,U+F0191,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0009,obs-comp-cand-000017,obimd-glyph-link-000281,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆒,U+F0192,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0010,obs-comp-cand-000017,obimd-glyph-link-000282,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆓,U+F0193,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000017-glyph-0011,obs-comp-cand-000017,obimd-glyph-link-000283,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1axafi8r7u,󰆔,U+F0194,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
