glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000046-glyph-0001,obs-comp-cand-000046,obimd-glyph-link-000876,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰓾,U+F04FE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0002,obs-comp-cand-000046,obimd-glyph-link-000877,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰓿,U+F04FF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0003,obs-comp-cand-000046,obimd-glyph-link-000878,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔀,U+F0500,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0004,obs-comp-cand-000046,obimd-glyph-link-000879,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔁,U+F0501,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0005,obs-comp-cand-000046,obimd-glyph-link-000880,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔂,U+F0502,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0006,obs-comp-cand-000046,obimd-glyph-link-000881,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔃,U+F0503,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0007,obs-comp-cand-000046,obimd-glyph-link-000882,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔄,U+F0504,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0008,obs-comp-cand-000046,obimd-glyph-link-000883,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔅,U+F0505,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0009,obs-comp-cand-000046,obimd-glyph-link-000884,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔆,U+F0506,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000046-glyph-0010,obs-comp-cand-000046,obimd-glyph-link-000885,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-toxyvoa89s,󰔇,U+F0507,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
