glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000066-glyph-0001,obs-comp-cand-000066,obimd-glyph-link-001111,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,光󰙔,U+5149;U+F0654,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0002,obs-comp-cand-000066,obimd-glyph-link-001112,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙕,U+F0655,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0003,obs-comp-cand-000066,obimd-glyph-link-001113,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙖,U+F0656,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0004,obs-comp-cand-000066,obimd-glyph-link-001114,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙗,U+F0657,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0005,obs-comp-cand-000066,obimd-glyph-link-001115,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙘,U+F0658,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0006,obs-comp-cand-000066,obimd-glyph-link-001116,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙙,U+F0659,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0007,obs-comp-cand-000066,obimd-glyph-link-001117,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙚,U+F065A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0008,obs-comp-cand-000066,obimd-glyph-link-001118,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙛,U+F065B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0009,obs-comp-cand-000066,obimd-glyph-link-001119,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙜,U+F065C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0010,obs-comp-cand-000066,obimd-glyph-link-001120,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙝,U+F065D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0011,obs-comp-cand-000066,obimd-glyph-link-001121,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙞,U+F065E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0012,obs-comp-cand-000066,obimd-glyph-link-001122,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙟,U+F065F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0013,obs-comp-cand-000066,obimd-glyph-link-001123,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙠,U+F0660,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0014,obs-comp-cand-000066,obimd-glyph-link-001124,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙡,U+F0661,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0015,obs-comp-cand-000066,obimd-glyph-link-001125,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙢,U+F0662,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0016,obs-comp-cand-000066,obimd-glyph-link-001126,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙣,U+F0663,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0017,obs-comp-cand-000066,obimd-glyph-link-001127,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙤,U+F0664,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0018,obs-comp-cand-000066,obimd-glyph-link-001128,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙥,U+F0665,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0019,obs-comp-cand-000066,obimd-glyph-link-001129,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙦,U+F0666,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0020,obs-comp-cand-000066,obimd-glyph-link-001130,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙧,U+F0667,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0021,obs-comp-cand-000066,obimd-glyph-link-001131,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙨,U+F0668,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0022,obs-comp-cand-000066,obimd-glyph-link-001132,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙩,U+F0669,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0023,obs-comp-cand-000066,obimd-glyph-link-001133,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙪,U+F066A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000066-glyph-0024,obs-comp-cand-000066,obimd-glyph-link-001134,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1ttzl6vlzs,󰙫,U+F066B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
