glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000067-glyph-0001,obs-comp-cand-000067,obimd-glyph-link-001142,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,岳󰚃,U+5CB3;U+F0683,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0002,obs-comp-cand-000067,obimd-glyph-link-001143,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚄,U+F0684,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0003,obs-comp-cand-000067,obimd-glyph-link-001144,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚅,U+F0685,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0004,obs-comp-cand-000067,obimd-glyph-link-001145,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚆,U+F0686,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0005,obs-comp-cand-000067,obimd-glyph-link-001146,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚇,U+F0687,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0006,obs-comp-cand-000067,obimd-glyph-link-001147,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚈,U+F0688,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0007,obs-comp-cand-000067,obimd-glyph-link-001148,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚉,U+F0689,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0008,obs-comp-cand-000067,obimd-glyph-link-001149,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚊,U+F068A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0009,obs-comp-cand-000067,obimd-glyph-link-001150,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚋,U+F068B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0010,obs-comp-cand-000067,obimd-glyph-link-001151,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚌,U+F068C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0011,obs-comp-cand-000067,obimd-glyph-link-001152,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚍,U+F068D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0012,obs-comp-cand-000067,obimd-glyph-link-001153,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚎,U+F068E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0013,obs-comp-cand-000067,obimd-glyph-link-001154,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚏,U+F068F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0014,obs-comp-cand-000067,obimd-glyph-link-001155,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚐,U+F0690,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0015,obs-comp-cand-000067,obimd-glyph-link-001156,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚒,U+F0692,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0016,obs-comp-cand-000067,obimd-glyph-link-001157,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚓,U+F0693,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0017,obs-comp-cand-000067,obimd-glyph-link-001158,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚔,U+F0694,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0018,obs-comp-cand-000067,obimd-glyph-link-001159,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚕,U+F0695,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0019,obs-comp-cand-000067,obimd-glyph-link-001160,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚖,U+F0696,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0020,obs-comp-cand-000067,obimd-glyph-link-001161,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚗,U+F0697,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000067-glyph-0021,obs-comp-cand-000067,obimd-glyph-link-001162,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nscqmvthk1,󰚘,U+F0698,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
