glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000078-glyph-0001,obs-comp-cand-000078,obimd-glyph-link-001367,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,烄򴯜򴱢󰠬,U+70C4;U+B4BDC;U+B4C62;U+F082C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0002,obs-comp-cand-000078,obimd-glyph-link-001368,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠭,U+F082D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0003,obs-comp-cand-000078,obimd-glyph-link-001369,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠮,U+F082E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0004,obs-comp-cand-000078,obimd-glyph-link-001370,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠯,U+F082F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0005,obs-comp-cand-000078,obimd-glyph-link-001371,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠰,U+F0830,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0006,obs-comp-cand-000078,obimd-glyph-link-001372,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠲,U+F0832,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0007,obs-comp-cand-000078,obimd-glyph-link-001373,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠳,U+F0833,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0008,obs-comp-cand-000078,obimd-glyph-link-001374,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠴,U+F0834,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0009,obs-comp-cand-000078,obimd-glyph-link-001375,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠵,U+F0835,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0010,obs-comp-cand-000078,obimd-glyph-link-001376,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠶,U+F0836,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0011,obs-comp-cand-000078,obimd-glyph-link-001377,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠸,U+F0838,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0012,obs-comp-cand-000078,obimd-glyph-link-001378,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠹,U+F0839,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0013,obs-comp-cand-000078,obimd-glyph-link-001379,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠺,U+F083A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000078-glyph-0014,obs-comp-cand-000078,obimd-glyph-link-001380,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgzalhpawt,󰠻,U+F083B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
