glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000105-glyph-0001,obs-comp-cand-000105,obimd-glyph-link-001584,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,降󰧫,U+964D;U+F09EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0002,obs-comp-cand-000105,obimd-glyph-link-001585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧬,U+F09EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0003,obs-comp-cand-000105,obimd-glyph-link-001586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧭,U+F09ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0004,obs-comp-cand-000105,obimd-glyph-link-001587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧮,U+F09EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0005,obs-comp-cand-000105,obimd-glyph-link-001588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧯,U+F09EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0006,obs-comp-cand-000105,obimd-glyph-link-001589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧰,U+F09F0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0007,obs-comp-cand-000105,obimd-glyph-link-001590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧱,U+F09F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0008,obs-comp-cand-000105,obimd-glyph-link-001591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧲,U+F09F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0009,obs-comp-cand-000105,obimd-glyph-link-001592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧳,U+F09F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0010,obs-comp-cand-000105,obimd-glyph-link-001593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧴,U+F09F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0011,obs-comp-cand-000105,obimd-glyph-link-001594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧵,U+F09F5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0012,obs-comp-cand-000105,obimd-glyph-link-001595,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧶,U+F09F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0013,obs-comp-cand-000105,obimd-glyph-link-001596,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧷,U+F09F7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0014,obs-comp-cand-000105,obimd-glyph-link-001597,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧸,U+F09F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0015,obs-comp-cand-000105,obimd-glyph-link-001598,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧹,U+F09F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0016,obs-comp-cand-000105,obimd-glyph-link-001599,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧺,U+F09FA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000105-glyph-0017,obs-comp-cand-000105,obimd-glyph-link-001600,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sq81wh8r3p,󰧻,U+F09FB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
