glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000115-glyph-0001,obs-comp-cand-000115,obimd-glyph-link-001704,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,陮󰫍,U+966E;U+F0ACD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0002,obs-comp-cand-000115,obimd-glyph-link-001705,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫎,U+F0ACE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0003,obs-comp-cand-000115,obimd-glyph-link-001706,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫏,U+F0ACF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0004,obs-comp-cand-000115,obimd-glyph-link-001707,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫐,U+F0AD0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0005,obs-comp-cand-000115,obimd-glyph-link-001708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫑,U+F0AD1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0006,obs-comp-cand-000115,obimd-glyph-link-001709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫒,U+F0AD2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0007,obs-comp-cand-000115,obimd-glyph-link-001710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫓,U+F0AD3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0008,obs-comp-cand-000115,obimd-glyph-link-001711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫔,U+F0AD4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0009,obs-comp-cand-000115,obimd-glyph-link-001712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫕,U+F0AD5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0010,obs-comp-cand-000115,obimd-glyph-link-001713,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫖,U+F0AD6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0011,obs-comp-cand-000115,obimd-glyph-link-001714,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫗,U+F0AD7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000115-glyph-0012,obs-comp-cand-000115,obimd-glyph-link-001715,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fy8197yoy0,󰫘,U+F0AD8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
