glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000130-glyph-0001,obs-comp-cand-000130,obimd-glyph-link-001835,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰱,U+F0C31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0002,obs-comp-cand-000130,obimd-glyph-link-001836,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰲,U+F0C32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0003,obs-comp-cand-000130,obimd-glyph-link-001837,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰳,U+F0C33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0004,obs-comp-cand-000130,obimd-glyph-link-001838,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰴,U+F0C34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0005,obs-comp-cand-000130,obimd-glyph-link-001839,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰵,U+F0C35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0006,obs-comp-cand-000130,obimd-glyph-link-001840,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰶,U+F0C36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0007,obs-comp-cand-000130,obimd-glyph-link-001841,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰷,U+F0C37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0008,obs-comp-cand-000130,obimd-glyph-link-001842,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰸,U+F0C38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0009,obs-comp-cand-000130,obimd-glyph-link-001843,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰹,U+F0C39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0010,obs-comp-cand-000130,obimd-glyph-link-001844,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰺,U+F0C3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0011,obs-comp-cand-000130,obimd-glyph-link-001845,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰻,U+F0C3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0012,obs-comp-cand-000130,obimd-glyph-link-001846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰼,U+F0C3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000130-glyph-0013,obs-comp-cand-000130,obimd-glyph-link-001847,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-votw16a9ky,󰰽,U+F0C3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
