glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000156-glyph-0001,obs-comp-cand-000156,obimd-glyph-link-002080,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,𣎳󰺇,U+233B3;U+F0E87,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0002,obs-comp-cand-000156,obimd-glyph-link-002081,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺈,U+F0E88,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0003,obs-comp-cand-000156,obimd-glyph-link-002082,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺉,U+F0E89,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0004,obs-comp-cand-000156,obimd-glyph-link-002083,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺊,U+F0E8A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0005,obs-comp-cand-000156,obimd-glyph-link-002084,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺋,U+F0E8B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0006,obs-comp-cand-000156,obimd-glyph-link-002085,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺌,U+F0E8C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0007,obs-comp-cand-000156,obimd-glyph-link-002086,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺍,U+F0E8D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0008,obs-comp-cand-000156,obimd-glyph-link-002087,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺎,U+F0E8E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0009,obs-comp-cand-000156,obimd-glyph-link-002088,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺏,U+F0E8F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0010,obs-comp-cand-000156,obimd-glyph-link-002089,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺐,U+F0E90,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000156-glyph-0011,obs-comp-cand-000156,obimd-glyph-link-002090,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-gfyngwaipo,󰺑,U+F0E91,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
