glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000177-glyph-0001,obs-comp-cand-000177,obimd-glyph-link-002251,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰾼,U+F0FBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0002,obs-comp-cand-000177,obimd-glyph-link-002252,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰾽,U+F0FBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0003,obs-comp-cand-000177,obimd-glyph-link-002253,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰾾,U+F0FBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0004,obs-comp-cand-000177,obimd-glyph-link-002254,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰾿,U+F0FBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0005,obs-comp-cand-000177,obimd-glyph-link-002255,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿀,U+F0FC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0006,obs-comp-cand-000177,obimd-glyph-link-002256,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿁,U+F0FC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0007,obs-comp-cand-000177,obimd-glyph-link-002257,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿂,U+F0FC2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0008,obs-comp-cand-000177,obimd-glyph-link-002258,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿃,U+F0FC3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0009,obs-comp-cand-000177,obimd-glyph-link-002259,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿄,U+F0FC4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0010,obs-comp-cand-000177,obimd-glyph-link-002260,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿅,U+F0FC5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0011,obs-comp-cand-000177,obimd-glyph-link-002261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿆,U+F0FC6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0012,obs-comp-cand-000177,obimd-glyph-link-002262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿇,U+F0FC7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0013,obs-comp-cand-000177,obimd-glyph-link-002263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿈,U+F0FC8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0014,obs-comp-cand-000177,obimd-glyph-link-002264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿉,U+F0FC9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0015,obs-comp-cand-000177,obimd-glyph-link-002265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿊,U+F0FCA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0016,obs-comp-cand-000177,obimd-glyph-link-002266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿋,U+F0FCB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0017,obs-comp-cand-000177,obimd-glyph-link-002267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿌,U+F0FCC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0018,obs-comp-cand-000177,obimd-glyph-link-002268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿍,U+F0FCD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000177-glyph-0019,obs-comp-cand-000177,obimd-glyph-link-002269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tt9vsh6wsx,󰿎,U+F0FCE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
