glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000207-glyph-0001,obs-comp-cand-000207,obimd-glyph-link-002985,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,寮竂󱍩,U+5BEE;U+7AC2;U+F1369,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0002,obs-comp-cand-000207,obimd-glyph-link-002986,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍪,U+F136A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0003,obs-comp-cand-000207,obimd-glyph-link-002987,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍫,U+F136B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0004,obs-comp-cand-000207,obimd-glyph-link-002988,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍬,U+F136C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0005,obs-comp-cand-000207,obimd-glyph-link-002989,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍭,U+F136D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0006,obs-comp-cand-000207,obimd-glyph-link-002990,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍮,U+F136E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0007,obs-comp-cand-000207,obimd-glyph-link-002991,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍯,U+F136F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0008,obs-comp-cand-000207,obimd-glyph-link-002992,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍰,U+F1370,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0009,obs-comp-cand-000207,obimd-glyph-link-002993,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍱,U+F1371,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0010,obs-comp-cand-000207,obimd-glyph-link-002994,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍲,U+F1372,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000207-glyph-0011,obs-comp-cand-000207,obimd-glyph-link-002995,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5kvpngkc8,󱍳,U+F1373,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
