glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000208-glyph-0001,obs-comp-cand-000208,obimd-glyph-link-003000,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,未󱎇,U+672A;U+F1387,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0002,obs-comp-cand-000208,obimd-glyph-link-003001,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎈,U+F1388,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0003,obs-comp-cand-000208,obimd-glyph-link-003002,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎉,U+F1389,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0004,obs-comp-cand-000208,obimd-glyph-link-003003,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎊,U+F138A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0005,obs-comp-cand-000208,obimd-glyph-link-003004,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎋,U+F138B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0006,obs-comp-cand-000208,obimd-glyph-link-003005,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎌,U+F138C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0007,obs-comp-cand-000208,obimd-glyph-link-003006,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎍,U+F138D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0008,obs-comp-cand-000208,obimd-glyph-link-003007,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎎,U+F138E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0009,obs-comp-cand-000208,obimd-glyph-link-003008,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎏,U+F138F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0010,obs-comp-cand-000208,obimd-glyph-link-003009,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎐,U+F1390,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0011,obs-comp-cand-000208,obimd-glyph-link-003010,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎑,U+F1391,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000208-glyph-0012,obs-comp-cand-000208,obimd-glyph-link-003011,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-pa13rewdd9,󱎒,U+F1392,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
