glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000209-glyph-0001,obs-comp-cand-000209,obimd-glyph-link-003052,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱎼,U+F13BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0002,obs-comp-cand-000209,obimd-glyph-link-003053,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱎽,U+F13BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0003,obs-comp-cand-000209,obimd-glyph-link-003054,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱎾,U+F13BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0004,obs-comp-cand-000209,obimd-glyph-link-003055,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱎿,U+F13BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0005,obs-comp-cand-000209,obimd-glyph-link-003056,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏀,U+F13C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0006,obs-comp-cand-000209,obimd-glyph-link-003057,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏁,U+F13C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0007,obs-comp-cand-000209,obimd-glyph-link-003058,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏂,U+F13C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0008,obs-comp-cand-000209,obimd-glyph-link-003059,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏃,U+F13C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0009,obs-comp-cand-000209,obimd-glyph-link-003060,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏄,U+F13C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000209-glyph-0010,obs-comp-cand-000209,obimd-glyph-link-003061,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ce3fl75gg7,󱏅,U+F13C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
