glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000213-glyph-0001,obs-comp-cand-000213,obimd-glyph-link-003135,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,早艸󱐬,U+65E9;U+8278;U+F142C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0002,obs-comp-cand-000213,obimd-glyph-link-003136,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐭,U+F142D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0003,obs-comp-cand-000213,obimd-glyph-link-003137,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐮,U+F142E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0004,obs-comp-cand-000213,obimd-glyph-link-003138,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐯,U+F142F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0005,obs-comp-cand-000213,obimd-glyph-link-003139,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐰,U+F1430,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0006,obs-comp-cand-000213,obimd-glyph-link-003140,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐱,U+F1431,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0007,obs-comp-cand-000213,obimd-glyph-link-003141,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐲,U+F1432,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0008,obs-comp-cand-000213,obimd-glyph-link-003142,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐳,U+F1433,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0009,obs-comp-cand-000213,obimd-glyph-link-003143,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐴,U+F1434,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0010,obs-comp-cand-000213,obimd-glyph-link-003144,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐵,U+F1435,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000213-glyph-0011,obs-comp-cand-000213,obimd-glyph-link-003145,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fn6hszube7,󱐶,U+F1436,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
