glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000261-glyph-0001,obs-comp-cand-000261,obimd-glyph-link-003627,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,利󱟯,U+5229;U+F17EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0002,obs-comp-cand-000261,obimd-glyph-link-003628,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟰,U+F17F0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0003,obs-comp-cand-000261,obimd-glyph-link-003629,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟱,U+F17F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0004,obs-comp-cand-000261,obimd-glyph-link-003630,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟲,U+F17F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0005,obs-comp-cand-000261,obimd-glyph-link-003631,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟳,U+F17F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0006,obs-comp-cand-000261,obimd-glyph-link-003632,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟴,U+F17F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0007,obs-comp-cand-000261,obimd-glyph-link-003633,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟵,U+F17F5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0008,obs-comp-cand-000261,obimd-glyph-link-003634,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟶,U+F17F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0009,obs-comp-cand-000261,obimd-glyph-link-003635,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟷,U+F17F7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0010,obs-comp-cand-000261,obimd-glyph-link-003636,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟸,U+F17F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000261-glyph-0011,obs-comp-cand-000261,obimd-glyph-link-003637,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hoshv8o78k,󱟹,U+F17F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
