glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000273-glyph-0001,obs-comp-cand-000273,obimd-glyph-link-003708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,季󱢁,U+5B63;U+F1881,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0002,obs-comp-cand-000273,obimd-glyph-link-003709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢂,U+F1882,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0003,obs-comp-cand-000273,obimd-glyph-link-003710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢄,U+F1884,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0004,obs-comp-cand-000273,obimd-glyph-link-003711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢅,U+F1885,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0005,obs-comp-cand-000273,obimd-glyph-link-003712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢆,U+F1886,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0006,obs-comp-cand-000273,obimd-glyph-link-003713,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢇,U+F1887,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0007,obs-comp-cand-000273,obimd-glyph-link-003714,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢈,U+F1888,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0008,obs-comp-cand-000273,obimd-glyph-link-003715,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢉,U+F1889,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0009,obs-comp-cand-000273,obimd-glyph-link-003716,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢊,U+F188A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0010,obs-comp-cand-000273,obimd-glyph-link-003717,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢋,U+F188B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0011,obs-comp-cand-000273,obimd-glyph-link-003718,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢌,U+F188C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0012,obs-comp-cand-000273,obimd-glyph-link-003719,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢍,U+F188D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0013,obs-comp-cand-000273,obimd-glyph-link-003720,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢎,U+F188E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000273-glyph-0014,obs-comp-cand-000273,obimd-glyph-link-003721,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9tpoluos1q,󱢏,U+F188F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
