glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000280-glyph-0001,obs-comp-cand-000280,obimd-glyph-link-003911,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥠,U+F1960,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0002,obs-comp-cand-000280,obimd-glyph-link-003912,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥡,U+F1961,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0003,obs-comp-cand-000280,obimd-glyph-link-003913,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥢,U+F1962,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0004,obs-comp-cand-000280,obimd-glyph-link-003914,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥣,U+F1963,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0005,obs-comp-cand-000280,obimd-glyph-link-003915,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥤,U+F1964,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0006,obs-comp-cand-000280,obimd-glyph-link-003916,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥥,U+F1965,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0007,obs-comp-cand-000280,obimd-glyph-link-003917,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥦,U+F1966,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0008,obs-comp-cand-000280,obimd-glyph-link-003918,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥧,U+F1967,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0009,obs-comp-cand-000280,obimd-glyph-link-003919,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥨,U+F1968,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0010,obs-comp-cand-000280,obimd-glyph-link-003920,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥩,U+F1969,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000280-glyph-0011,obs-comp-cand-000280,obimd-glyph-link-003921,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n3ly3jigfq,󱥪,U+F196A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
