glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000294-glyph-0001,obs-comp-cand-000294,obimd-glyph-link-004096,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,禱𠦪󱩶,U+79B1;U+209AA;U+F1A76,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0002,obs-comp-cand-000294,obimd-glyph-link-004097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩷,U+F1A77,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0003,obs-comp-cand-000294,obimd-glyph-link-004098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩸,U+F1A78,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0004,obs-comp-cand-000294,obimd-glyph-link-004099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩹,U+F1A79,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0005,obs-comp-cand-000294,obimd-glyph-link-004100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩺,U+F1A7A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0006,obs-comp-cand-000294,obimd-glyph-link-004101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩻,U+F1A7B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0007,obs-comp-cand-000294,obimd-glyph-link-004102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩼,U+F1A7C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0008,obs-comp-cand-000294,obimd-glyph-link-004103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩽,U+F1A7D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0009,obs-comp-cand-000294,obimd-glyph-link-004104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩾,U+F1A7E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0010,obs-comp-cand-000294,obimd-glyph-link-004105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱩿,U+F1A7F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000294-glyph-0011,obs-comp-cand-000294,obimd-glyph-link-004106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wismy95hz,󱪀,U+F1A80,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
