glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000304-glyph-0001,obs-comp-cand-000304,obimd-glyph-link-004356,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,牛󱮬,U+725B;U+F1BAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0002,obs-comp-cand-000304,obimd-glyph-link-004357,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮭,U+F1BAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0003,obs-comp-cand-000304,obimd-glyph-link-004358,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮮,U+F1BAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0004,obs-comp-cand-000304,obimd-glyph-link-004359,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮯,U+F1BAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0005,obs-comp-cand-000304,obimd-glyph-link-004360,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮰,U+F1BB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0006,obs-comp-cand-000304,obimd-glyph-link-004361,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮱,U+F1BB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0007,obs-comp-cand-000304,obimd-glyph-link-004362,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮲,U+F1BB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0008,obs-comp-cand-000304,obimd-glyph-link-004363,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮳,U+F1BB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0009,obs-comp-cand-000304,obimd-glyph-link-004364,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮴,U+F1BB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0010,obs-comp-cand-000304,obimd-glyph-link-004365,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮵,U+F1BB5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0011,obs-comp-cand-000304,obimd-glyph-link-004366,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮶,U+F1BB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0012,obs-comp-cand-000304,obimd-glyph-link-004367,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮷,U+F1BB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0013,obs-comp-cand-000304,obimd-glyph-link-004368,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮸,U+F1BB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0014,obs-comp-cand-000304,obimd-glyph-link-004369,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮹,U+F1BB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0015,obs-comp-cand-000304,obimd-glyph-link-004370,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮺,U+F1BBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0016,obs-comp-cand-000304,obimd-glyph-link-004371,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮻,U+F1BBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0017,obs-comp-cand-000304,obimd-glyph-link-004372,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮼,U+F1BBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0018,obs-comp-cand-000304,obimd-glyph-link-004373,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮽,U+F1BBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0019,obs-comp-cand-000304,obimd-glyph-link-004374,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮾,U+F1BBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0020,obs-comp-cand-000304,obimd-glyph-link-004375,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱮿,U+F1BBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000304-glyph-0021,obs-comp-cand-000304,obimd-glyph-link-004376,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-66iowpdbuc,󱯀,U+F1BC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
