glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000316-glyph-0001,obs-comp-cand-000316,obimd-glyph-link-004756,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶫,U+F1DAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0002,obs-comp-cand-000316,obimd-glyph-link-004757,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶬,U+F1DAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0003,obs-comp-cand-000316,obimd-glyph-link-004758,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶭,U+F1DAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0004,obs-comp-cand-000316,obimd-glyph-link-004759,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶮,U+F1DAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0005,obs-comp-cand-000316,obimd-glyph-link-004760,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶯,U+F1DAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0006,obs-comp-cand-000316,obimd-glyph-link-004761,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶰,U+F1DB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0007,obs-comp-cand-000316,obimd-glyph-link-004762,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶱,U+F1DB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0008,obs-comp-cand-000316,obimd-glyph-link-004763,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶲,U+F1DB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0009,obs-comp-cand-000316,obimd-glyph-link-004764,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶳,U+F1DB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000316-glyph-0010,obs-comp-cand-000316,obimd-glyph-link-004765,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-053iyanm1v,󱶴,U+F1DB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
