glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000317-glyph-0001,obs-comp-cand-000317,obimd-glyph-link-004766,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶶,U+F1DB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0002,obs-comp-cand-000317,obimd-glyph-link-004767,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶷,U+F1DB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0003,obs-comp-cand-000317,obimd-glyph-link-004768,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶸,U+F1DB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0004,obs-comp-cand-000317,obimd-glyph-link-004769,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶹,U+F1DB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0005,obs-comp-cand-000317,obimd-glyph-link-004770,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶺,U+F1DBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0006,obs-comp-cand-000317,obimd-glyph-link-004771,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶻,U+F1DBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0007,obs-comp-cand-000317,obimd-glyph-link-004772,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶼,U+F1DBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0008,obs-comp-cand-000317,obimd-glyph-link-004773,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶽,U+F1DBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0009,obs-comp-cand-000317,obimd-glyph-link-004774,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶾,U+F1DBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000317-glyph-0010,obs-comp-cand-000317,obimd-glyph-link-004775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9h0muiwjl7,󱶿,U+F1DBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
