glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000325-glyph-0001,obs-comp-cand-000325,obimd-glyph-link-004869,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹌,U+F1E4C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0002,obs-comp-cand-000325,obimd-glyph-link-004870,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹍,U+F1E4D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0003,obs-comp-cand-000325,obimd-glyph-link-004871,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹎,U+F1E4E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0004,obs-comp-cand-000325,obimd-glyph-link-004872,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹏,U+F1E4F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0005,obs-comp-cand-000325,obimd-glyph-link-004873,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹐,U+F1E50,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0006,obs-comp-cand-000325,obimd-glyph-link-004874,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹑,U+F1E51,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0007,obs-comp-cand-000325,obimd-glyph-link-004875,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹒,U+F1E52,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0008,obs-comp-cand-000325,obimd-glyph-link-004876,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹓,U+F1E53,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0009,obs-comp-cand-000325,obimd-glyph-link-004877,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹔,U+F1E54,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0010,obs-comp-cand-000325,obimd-glyph-link-004878,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹕,U+F1E55,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0011,obs-comp-cand-000325,obimd-glyph-link-004879,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹖,U+F1E56,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000325-glyph-0012,obs-comp-cand-000325,obimd-glyph-link-004880,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-uwnh8ra1xv,󱹗,U+F1E57,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
