glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000341-glyph-0001,obs-comp-cand-000341,obimd-glyph-link-005095,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽸,U+F1F78,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0002,obs-comp-cand-000341,obimd-glyph-link-005096,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽹,U+F1F79,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0003,obs-comp-cand-000341,obimd-glyph-link-005097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽺,U+F1F7A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0004,obs-comp-cand-000341,obimd-glyph-link-005098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽻,U+F1F7B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0005,obs-comp-cand-000341,obimd-glyph-link-005099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽼,U+F1F7C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0006,obs-comp-cand-000341,obimd-glyph-link-005100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽽,U+F1F7D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0007,obs-comp-cand-000341,obimd-glyph-link-005101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽾,U+F1F7E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0008,obs-comp-cand-000341,obimd-glyph-link-005102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱽿,U+F1F7F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0009,obs-comp-cand-000341,obimd-glyph-link-005103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱾀,U+F1F80,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0010,obs-comp-cand-000341,obimd-glyph-link-005104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱾁,U+F1F81,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000341-glyph-0011,obs-comp-cand-000341,obimd-glyph-link-005105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-57gtya1e4o,󱾂,U+F1F82,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
