glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000352-glyph-0001,obs-comp-cand-000352,obimd-glyph-link-005244,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,䝅󲁧,U+4745;U+F2067,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0002,obs-comp-cand-000352,obimd-glyph-link-005245,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁨,U+F2068,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0003,obs-comp-cand-000352,obimd-glyph-link-005246,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁩,U+F2069,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0004,obs-comp-cand-000352,obimd-glyph-link-005247,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁪,U+F206A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0005,obs-comp-cand-000352,obimd-glyph-link-005248,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁫,U+F206B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0006,obs-comp-cand-000352,obimd-glyph-link-005249,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁬,U+F206C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0007,obs-comp-cand-000352,obimd-glyph-link-005250,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁭,U+F206D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0008,obs-comp-cand-000352,obimd-glyph-link-005251,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁮,U+F206E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0009,obs-comp-cand-000352,obimd-glyph-link-005252,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁯,U+F206F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0010,obs-comp-cand-000352,obimd-glyph-link-005253,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁰,U+F2070,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000352-glyph-0011,obs-comp-cand-000352,obimd-glyph-link-005254,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-mhzqyq008z,󲁱,U+F2071,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
