glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000360-glyph-0001,obs-comp-cand-000360,obimd-glyph-link-005356,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,犬󲄍,U+72AC;U+F210D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0002,obs-comp-cand-000360,obimd-glyph-link-005357,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄎,U+F210E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0003,obs-comp-cand-000360,obimd-glyph-link-005358,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄏,U+F210F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0004,obs-comp-cand-000360,obimd-glyph-link-005359,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄐,U+F2110,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0005,obs-comp-cand-000360,obimd-glyph-link-005360,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄑,U+F2111,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0006,obs-comp-cand-000360,obimd-glyph-link-005361,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄒,U+F2112,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0007,obs-comp-cand-000360,obimd-glyph-link-005362,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄓,U+F2113,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0008,obs-comp-cand-000360,obimd-glyph-link-005363,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄔,U+F2114,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0009,obs-comp-cand-000360,obimd-glyph-link-005364,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄕,U+F2115,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0010,obs-comp-cand-000360,obimd-glyph-link-005365,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄖,U+F2116,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000360-glyph-0011,obs-comp-cand-000360,obimd-glyph-link-005366,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-h9hoshfwwj,󲄗,U+F2117,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
