glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000379-glyph-0001,obs-comp-cand-000379,obimd-glyph-link-005702,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎧,U+F23A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0002,obs-comp-cand-000379,obimd-glyph-link-005703,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎨,U+F23A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0003,obs-comp-cand-000379,obimd-glyph-link-005704,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎩,U+F23A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0004,obs-comp-cand-000379,obimd-glyph-link-005705,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎪,U+F23AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0005,obs-comp-cand-000379,obimd-glyph-link-005706,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎫,U+F23AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0006,obs-comp-cand-000379,obimd-glyph-link-005707,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎬,U+F23AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0007,obs-comp-cand-000379,obimd-glyph-link-005708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎭,U+F23AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0008,obs-comp-cand-000379,obimd-glyph-link-005709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎮,U+F23AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0009,obs-comp-cand-000379,obimd-glyph-link-005710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎯,U+F23AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0010,obs-comp-cand-000379,obimd-glyph-link-005711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎰,U+F23B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000379-glyph-0011,obs-comp-cand-000379,obimd-glyph-link-005712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-96ixqidd0x,󲎱,U+F23B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
