glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000390-glyph-0001,obs-comp-cand-000390,obimd-glyph-link-005872,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,豹󲒫,U+8C79;U+F24AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0002,obs-comp-cand-000390,obimd-glyph-link-005873,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒬,U+F24AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0003,obs-comp-cand-000390,obimd-glyph-link-005874,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒭,U+F24AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0004,obs-comp-cand-000390,obimd-glyph-link-005875,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒮,U+F24AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0005,obs-comp-cand-000390,obimd-glyph-link-005876,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒯,U+F24AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0006,obs-comp-cand-000390,obimd-glyph-link-005877,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒰,U+F24B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0007,obs-comp-cand-000390,obimd-glyph-link-005878,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒱,U+F24B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0008,obs-comp-cand-000390,obimd-glyph-link-005879,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒲,U+F24B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0009,obs-comp-cand-000390,obimd-glyph-link-005880,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒳,U+F24B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0010,obs-comp-cand-000390,obimd-glyph-link-005881,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒴,U+F24B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000390-glyph-0011,obs-comp-cand-000390,obimd-glyph-link-005882,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kn438rbkpd,󲒵,U+F24B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
