glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000395-glyph-0001,obs-comp-cand-000395,obimd-glyph-link-005907,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,虞򲄦󲔗,U+865E;U+B2126;U+F2517,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0002,obs-comp-cand-000395,obimd-glyph-link-005908,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔘,U+F2518,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0003,obs-comp-cand-000395,obimd-glyph-link-005909,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔙,U+F2519,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0004,obs-comp-cand-000395,obimd-glyph-link-005910,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔚,U+F251A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0005,obs-comp-cand-000395,obimd-glyph-link-005911,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔛,U+F251B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0006,obs-comp-cand-000395,obimd-glyph-link-005912,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔜,U+F251C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0007,obs-comp-cand-000395,obimd-glyph-link-005913,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔝,U+F251D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0008,obs-comp-cand-000395,obimd-glyph-link-005914,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔞,U+F251E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0009,obs-comp-cand-000395,obimd-glyph-link-005915,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔟,U+F251F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0010,obs-comp-cand-000395,obimd-glyph-link-005916,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔠,U+F2520,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0011,obs-comp-cand-000395,obimd-glyph-link-005917,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔡,U+F2521,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0012,obs-comp-cand-000395,obimd-glyph-link-005918,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔢,U+F2522,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0013,obs-comp-cand-000395,obimd-glyph-link-005919,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔣,U+F2523,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0014,obs-comp-cand-000395,obimd-glyph-link-005920,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔤,U+F2524,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0015,obs-comp-cand-000395,obimd-glyph-link-005921,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔥,U+F2525,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000395-glyph-0016,obs-comp-cand-000395,obimd-glyph-link-005922,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-er8jkra4dx,󲔧,U+F2527,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
