glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000424-glyph-0001,obs-comp-cand-000424,obimd-glyph-link-006132,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,麋󲝅,U+9E8B;U+F2745,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0002,obs-comp-cand-000424,obimd-glyph-link-006133,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝆,U+F2746,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0003,obs-comp-cand-000424,obimd-glyph-link-006134,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝇,U+F2747,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0004,obs-comp-cand-000424,obimd-glyph-link-006135,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝈,U+F2748,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0005,obs-comp-cand-000424,obimd-glyph-link-006136,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝉,U+F2749,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0006,obs-comp-cand-000424,obimd-glyph-link-006137,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝋,U+F274B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0007,obs-comp-cand-000424,obimd-glyph-link-006138,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝌,U+F274C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0008,obs-comp-cand-000424,obimd-glyph-link-006139,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝍,U+F274D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0009,obs-comp-cand-000424,obimd-glyph-link-006140,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝎,U+F274E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0010,obs-comp-cand-000424,obimd-glyph-link-006141,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝏,U+F274F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0011,obs-comp-cand-000424,obimd-glyph-link-006142,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝐,U+F2750,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0012,obs-comp-cand-000424,obimd-glyph-link-006143,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝑,U+F2751,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0013,obs-comp-cand-000424,obimd-glyph-link-006144,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝒,U+F2752,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0014,obs-comp-cand-000424,obimd-glyph-link-006145,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝓,U+F2753,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0015,obs-comp-cand-000424,obimd-glyph-link-006146,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝔,U+F2754,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0016,obs-comp-cand-000424,obimd-glyph-link-006147,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝕,U+F2755,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0017,obs-comp-cand-000424,obimd-glyph-link-006148,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝖,U+F2756,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0018,obs-comp-cand-000424,obimd-glyph-link-006149,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝗,U+F2757,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0019,obs-comp-cand-000424,obimd-glyph-link-006150,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝘,U+F2758,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0020,obs-comp-cand-000424,obimd-glyph-link-006151,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝙,U+F2759,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000424-glyph-0021,obs-comp-cand-000424,obimd-glyph-link-006152,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-54s1u855x9,󲝚,U+F275A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
