glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000431-glyph-0001,obs-comp-cand-000431,obimd-glyph-link-006222,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠃,U+F2803,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0002,obs-comp-cand-000431,obimd-glyph-link-006223,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠄,U+F2804,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0003,obs-comp-cand-000431,obimd-glyph-link-006224,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠅,U+F2805,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0004,obs-comp-cand-000431,obimd-glyph-link-006225,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠆,U+F2806,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0005,obs-comp-cand-000431,obimd-glyph-link-006226,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠇,U+F2807,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0006,obs-comp-cand-000431,obimd-glyph-link-006227,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠈,U+F2808,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0007,obs-comp-cand-000431,obimd-glyph-link-006228,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠉,U+F2809,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0008,obs-comp-cand-000431,obimd-glyph-link-006229,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠊,U+F280A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0009,obs-comp-cand-000431,obimd-glyph-link-006230,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠋,U+F280B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0010,obs-comp-cand-000431,obimd-glyph-link-006231,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠌,U+F280C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0011,obs-comp-cand-000431,obimd-glyph-link-006232,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠍,U+F280D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0012,obs-comp-cand-000431,obimd-glyph-link-006233,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠎,U+F280E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0013,obs-comp-cand-000431,obimd-glyph-link-006234,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠏,U+F280F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0014,obs-comp-cand-000431,obimd-glyph-link-006235,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠐,U+F2810,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0015,obs-comp-cand-000431,obimd-glyph-link-006236,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠑,U+F2811,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0016,obs-comp-cand-000431,obimd-glyph-link-006237,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠒,U+F2812,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0017,obs-comp-cand-000431,obimd-glyph-link-006238,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠓,U+F2813,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0018,obs-comp-cand-000431,obimd-glyph-link-006239,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠔,U+F2814,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0019,obs-comp-cand-000431,obimd-glyph-link-006240,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠕,U+F2815,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0020,obs-comp-cand-000431,obimd-glyph-link-006241,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠖,U+F2816,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0021,obs-comp-cand-000431,obimd-glyph-link-006242,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠗,U+F2817,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000431-glyph-0022,obs-comp-cand-000431,obimd-glyph-link-006243,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fd1fnfizin,󲠘,U+F2818,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
