glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000450-glyph-0001,obs-comp-cand-000450,obimd-glyph-link-006416,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,羈󲥢,U+7F88;U+F2962,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0002,obs-comp-cand-000450,obimd-glyph-link-006417,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥣,U+F2963,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0003,obs-comp-cand-000450,obimd-glyph-link-006418,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥤,U+F2964,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0004,obs-comp-cand-000450,obimd-glyph-link-006419,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥥,U+F2965,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0005,obs-comp-cand-000450,obimd-glyph-link-006420,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥦,U+F2966,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0006,obs-comp-cand-000450,obimd-glyph-link-006421,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥧,U+F2967,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0007,obs-comp-cand-000450,obimd-glyph-link-006422,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥨,U+F2968,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0008,obs-comp-cand-000450,obimd-glyph-link-006423,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥩,U+F2969,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0009,obs-comp-cand-000450,obimd-glyph-link-006424,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥪,U+F296A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0010,obs-comp-cand-000450,obimd-glyph-link-006425,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥫,U+F296B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000450-glyph-0011,obs-comp-cand-000450,obimd-glyph-link-006426,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k9fz66biv5,󲥬,U+F296C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
