glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000469-glyph-0001,obs-comp-cand-000469,obimd-glyph-link-006966,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰤,U+F2C24,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0002,obs-comp-cand-000469,obimd-glyph-link-006967,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰥,U+F2C25,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0003,obs-comp-cand-000469,obimd-glyph-link-006968,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰦,U+F2C26,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0004,obs-comp-cand-000469,obimd-glyph-link-006969,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰧,U+F2C27,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0005,obs-comp-cand-000469,obimd-glyph-link-006970,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰨,U+F2C28,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0006,obs-comp-cand-000469,obimd-glyph-link-006971,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰩,U+F2C29,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0007,obs-comp-cand-000469,obimd-glyph-link-006972,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰪,U+F2C2A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0008,obs-comp-cand-000469,obimd-glyph-link-006973,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰫,U+F2C2B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0009,obs-comp-cand-000469,obimd-glyph-link-006974,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰬,U+F2C2C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0010,obs-comp-cand-000469,obimd-glyph-link-006975,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰭,U+F2C2D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0011,obs-comp-cand-000469,obimd-glyph-link-006976,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰮,U+F2C2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000469-glyph-0012,obs-comp-cand-000469,obimd-glyph-link-006977,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5yv8bp6pym,󲰯,U+F2C2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
