glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000474-glyph-0001,obs-comp-cand-000474,obimd-glyph-link-007072,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,陰𱁇󲲧,U+9670;U+31047;U+F2CA7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0002,obs-comp-cand-000474,obimd-glyph-link-007073,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲨,U+F2CA8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0003,obs-comp-cand-000474,obimd-glyph-link-007074,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲩,U+F2CA9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0004,obs-comp-cand-000474,obimd-glyph-link-007075,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲪,U+F2CAA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0005,obs-comp-cand-000474,obimd-glyph-link-007076,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲫,U+F2CAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0006,obs-comp-cand-000474,obimd-glyph-link-007077,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲬,U+F2CAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0007,obs-comp-cand-000474,obimd-glyph-link-007078,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲭,U+F2CAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0008,obs-comp-cand-000474,obimd-glyph-link-007079,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲮,U+F2CAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0009,obs-comp-cand-000474,obimd-glyph-link-007080,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲯,U+F2CAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0010,obs-comp-cand-000474,obimd-glyph-link-007081,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲰,U+F2CB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0011,obs-comp-cand-000474,obimd-glyph-link-007082,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲱,U+F2CB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0012,obs-comp-cand-000474,obimd-glyph-link-007083,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲲,U+F2CB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0013,obs-comp-cand-000474,obimd-glyph-link-007084,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲳,U+F2CB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0014,obs-comp-cand-000474,obimd-glyph-link-007085,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲴,U+F2CB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0015,obs-comp-cand-000474,obimd-glyph-link-007086,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲵,U+F2CB5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0016,obs-comp-cand-000474,obimd-glyph-link-007087,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲶,U+F2CB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0017,obs-comp-cand-000474,obimd-glyph-link-007088,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲷,U+F2CB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0018,obs-comp-cand-000474,obimd-glyph-link-007089,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲸,U+F2CB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0019,obs-comp-cand-000474,obimd-glyph-link-007090,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲹,U+F2CB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0020,obs-comp-cand-000474,obimd-glyph-link-007091,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲺,U+F2CBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0021,obs-comp-cand-000474,obimd-glyph-link-007092,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲻,U+F2CBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000474-glyph-0022,obs-comp-cand-000474,obimd-glyph-link-007093,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ah10xtkbxp,󲲼,U+F2CBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
