glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000507-glyph-0001,obs-comp-cand-000507,obimd-glyph-link-007503,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,燕󲾳,U+71D5;U+F2FB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0002,obs-comp-cand-000507,obimd-glyph-link-007504,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾴,U+F2FB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0003,obs-comp-cand-000507,obimd-glyph-link-007505,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾵,U+F2FB5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0004,obs-comp-cand-000507,obimd-glyph-link-007506,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾶,U+F2FB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0005,obs-comp-cand-000507,obimd-glyph-link-007507,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾷,U+F2FB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0006,obs-comp-cand-000507,obimd-glyph-link-007508,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾸,U+F2FB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0007,obs-comp-cand-000507,obimd-glyph-link-007509,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾹,U+F2FB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0008,obs-comp-cand-000507,obimd-glyph-link-007510,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾺,U+F2FBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0009,obs-comp-cand-000507,obimd-glyph-link-007511,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾻,U+F2FBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0010,obs-comp-cand-000507,obimd-glyph-link-007512,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾼,U+F2FBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0011,obs-comp-cand-000507,obimd-glyph-link-007513,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾽,U+F2FBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000507-glyph-0012,obs-comp-cand-000507,obimd-glyph-link-007514,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xl187q597e,󲾾,U+F2FBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
