glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000522-glyph-0001,obs-comp-cand-000522,obimd-glyph-link-007687,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,龍󳃴,U+9F8D;U+F30F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0002,obs-comp-cand-000522,obimd-glyph-link-007688,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃵,U+F30F5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0003,obs-comp-cand-000522,obimd-glyph-link-007689,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃶,U+F30F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0004,obs-comp-cand-000522,obimd-glyph-link-007690,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃷,U+F30F7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0005,obs-comp-cand-000522,obimd-glyph-link-007691,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃸,U+F30F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0006,obs-comp-cand-000522,obimd-glyph-link-007692,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃹,U+F30F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0007,obs-comp-cand-000522,obimd-glyph-link-007693,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃺,U+F30FA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0008,obs-comp-cand-000522,obimd-glyph-link-007694,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃻,U+F30FB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0009,obs-comp-cand-000522,obimd-glyph-link-007695,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃼,U+F30FC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0010,obs-comp-cand-000522,obimd-glyph-link-007696,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃽,U+F30FD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000522-glyph-0011,obs-comp-cand-000522,obimd-glyph-link-007697,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-nq3neh9i5i,󳃾,U+F30FE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
