glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000535-glyph-0001,obs-comp-cand-000535,obimd-glyph-link-007844,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇨,U+F31E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0002,obs-comp-cand-000535,obimd-glyph-link-007845,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇩,U+F31E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0003,obs-comp-cand-000535,obimd-glyph-link-007846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇪,U+F31EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0004,obs-comp-cand-000535,obimd-glyph-link-007847,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇫,U+F31EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0005,obs-comp-cand-000535,obimd-glyph-link-007848,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇭,U+F31ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0006,obs-comp-cand-000535,obimd-glyph-link-007849,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇮,U+F31EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0007,obs-comp-cand-000535,obimd-glyph-link-007850,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇯,U+F31EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0008,obs-comp-cand-000535,obimd-glyph-link-007851,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇰,U+F31F0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0009,obs-comp-cand-000535,obimd-glyph-link-007852,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇱,U+F31F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0010,obs-comp-cand-000535,obimd-glyph-link-007853,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇲,U+F31F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000535-glyph-0011,obs-comp-cand-000535,obimd-glyph-link-007854,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1cffazouax,󳇳,U+F31F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
