glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000544-glyph-0001,obs-comp-cand-000544,obimd-glyph-link-007901,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,害舝󂙇󳉜,U+5BB3;U+821D;U+C2647;U+F325C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0002,obs-comp-cand-000544,obimd-glyph-link-007902,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉝,U+F325D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0003,obs-comp-cand-000544,obimd-glyph-link-007903,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉞,U+F325E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0004,obs-comp-cand-000544,obimd-glyph-link-007904,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉟,U+F325F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0005,obs-comp-cand-000544,obimd-glyph-link-007905,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉠,U+F3260,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0006,obs-comp-cand-000544,obimd-glyph-link-007906,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉡,U+F3261,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0007,obs-comp-cand-000544,obimd-glyph-link-007907,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉢,U+F3262,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0008,obs-comp-cand-000544,obimd-glyph-link-007908,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉣,U+F3263,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0009,obs-comp-cand-000544,obimd-glyph-link-007909,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉤,U+F3264,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0010,obs-comp-cand-000544,obimd-glyph-link-007910,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉥,U+F3265,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0011,obs-comp-cand-000544,obimd-glyph-link-007911,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉦,U+F3266,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0012,obs-comp-cand-000544,obimd-glyph-link-007912,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉧,U+F3267,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0013,obs-comp-cand-000544,obimd-glyph-link-007913,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉨,U+F3268,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000544-glyph-0014,obs-comp-cand-000544,obimd-glyph-link-007914,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-446qjw4xgi,󳉩,U+F3269,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
