glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000570-glyph-0001,obs-comp-cand-000570,obimd-glyph-link-008292,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,㦵誅󳔫,U+39B5;U+8A85;U+F352B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0002,obs-comp-cand-000570,obimd-glyph-link-008293,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔬,U+F352C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0003,obs-comp-cand-000570,obimd-glyph-link-008294,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔭,U+F352D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0004,obs-comp-cand-000570,obimd-glyph-link-008295,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔮,U+F352E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0005,obs-comp-cand-000570,obimd-glyph-link-008296,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔯,U+F352F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0006,obs-comp-cand-000570,obimd-glyph-link-008297,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔰,U+F3530,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0007,obs-comp-cand-000570,obimd-glyph-link-008298,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔱,U+F3531,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0008,obs-comp-cand-000570,obimd-glyph-link-008299,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔲,U+F3532,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0009,obs-comp-cand-000570,obimd-glyph-link-008300,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔴,U+F3534,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0010,obs-comp-cand-000570,obimd-glyph-link-008301,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔵,U+F3535,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000570-glyph-0011,obs-comp-cand-000570,obimd-glyph-link-008302,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vzb2hyntyq,󳔶,U+F3536,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
