candidate_component_id,candidate_subcharacter_id,candidate_directory,primary_external_ref_id,source_subcharacter_uid,source_main_character_uid,main_character_external_ref_id,glyph_codepoint_count,rights_status,object_status,review_status,research_boundary,updated_at
obs-comp-cand-000601,obimd-sub-cand-000601,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/601_obs-comp-cand-000601_obimd-sub-8k76kao4ll_component-candidate,obimd-sub-8k76kao4ll,8k76kao4ll,8k76kao4ll,obimd-main-8k76kao4ll,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000602,obimd-sub-cand-000602,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/602_obs-comp-cand-000602_obimd-sub-804dv56eji_component-candidate,obimd-sub-804dv56eji,804dv56eji,804dv56eji,obimd-main-804dv56eji,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000603,obimd-sub-cand-000603,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/603_obs-comp-cand-000603_obimd-sub-8i9yf0yr9w_component-candidate,obimd-sub-8i9yf0yr9w,8i9yf0yr9w,8i9yf0yr9w,obimd-main-8i9yf0yr9w,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000604,obimd-sub-cand-000604,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/604_obs-comp-cand-000604_obimd-sub-pjyj6rvuj6_component-candidate,obimd-sub-pjyj6rvuj6,pjyj6rvuj6,pjyj6rvuj6,obimd-main-pjyj6rvuj6,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000605,obimd-sub-cand-000605,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/605_obs-comp-cand-000605_obimd-sub-0umdgqu77x_component-candidate,obimd-sub-0umdgqu77x,0umdgqu77x,0umdgqu77x,obimd-main-0umdgqu77x,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000606,obimd-sub-cand-000606,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/606_obs-comp-cand-000606_obimd-sub-s9y9vbblxa_component-candidate,obimd-sub-s9y9vbblxa,s9y9vbblxa,s9y9vbblxa,obimd-main-s9y9vbblxa,16,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000607,obimd-sub-cand-000607,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/607_obs-comp-cand-000607_obimd-sub-kpvny5fgn0_component-candidate,obimd-sub-kpvny5fgn0,kpvny5fgn0,s9y9vbblxa,obimd-main-s9y9vbblxa,13,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000608,obimd-sub-cand-000608,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/608_obs-comp-cand-000608_obimd-sub-ptd0rmmnrv_component-candidate,obimd-sub-ptd0rmmnrv,ptd0rmmnrv,ptd0rmmnrv,obimd-main-ptd0rmmnrv,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000609,obimd-sub-cand-000609,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/609_obs-comp-cand-000609_obimd-sub-l3wc3uouh6_component-candidate,obimd-sub-l3wc3uouh6,l3wc3uouh6,l3wc3uouh6,obimd-main-l3wc3uouh6,16,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000610,obimd-sub-cand-000610,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/610_obs-comp-cand-000610_obimd-sub-tzpd74rbvm_component-candidate,obimd-sub-tzpd74rbvm,tzpd74rbvm,l3wc3uouh6,obimd-main-l3wc3uouh6,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000611,obimd-sub-cand-000611,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/611_obs-comp-cand-000611_obimd-sub-z403ojus93_component-candidate,obimd-sub-z403ojus93,z403ojus93,z403ojus93,obimd-main-z403ojus93,7,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000612,obimd-sub-cand-000612,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/612_obs-comp-cand-000612_obimd-sub-ipg5litwsb_component-candidate,obimd-sub-ipg5litwsb,ipg5litwsb,z403ojus93,obimd-main-z403ojus93,4,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000613,obimd-sub-cand-000613,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/613_obs-comp-cand-000613_obimd-sub-nynbz4agj2_component-candidate,obimd-sub-nynbz4agj2,nynbz4agj2,z403ojus93,obimd-main-z403ojus93,5,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000614,obimd-sub-cand-000614,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/614_obs-comp-cand-000614_obimd-sub-gtckp2vvj4_component-candidate,obimd-sub-gtckp2vvj4,gtckp2vvj4,gtckp2vvj4,obimd-main-gtckp2vvj4,4,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-000615,obimd-sub-cand-000615,corpus/003_graphemic-components/007_000601-000700_obs-comp-cand-bucket_component-candidates/615_obs-comp-cand-000615_obimd-sub-zapprwvtx9_component-candidate,obimd-sub-zapprwvtx9,zapprwvtx9,zapprwvtx9,obimd-main-zapprwvtx9,8,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
