glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000606-glyph-0001,obs-comp-cand-000606,obimd-glyph-link-009093,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,大󳥱,U+5927;U+F3971,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0002,obs-comp-cand-000606,obimd-glyph-link-009094,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥲,U+F3972,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0003,obs-comp-cand-000606,obimd-glyph-link-009095,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥳,U+F3973,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0004,obs-comp-cand-000606,obimd-glyph-link-009096,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥴,U+F3974,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0005,obs-comp-cand-000606,obimd-glyph-link-009097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥵,U+F3975,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0006,obs-comp-cand-000606,obimd-glyph-link-009098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥶,U+F3976,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0007,obs-comp-cand-000606,obimd-glyph-link-009099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥷,U+F3977,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0008,obs-comp-cand-000606,obimd-glyph-link-009100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥸,U+F3978,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0009,obs-comp-cand-000606,obimd-glyph-link-009101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥹,U+F3979,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0010,obs-comp-cand-000606,obimd-glyph-link-009102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥺,U+F397A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0011,obs-comp-cand-000606,obimd-glyph-link-009103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥻,U+F397B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0012,obs-comp-cand-000606,obimd-glyph-link-009104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥼,U+F397C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0013,obs-comp-cand-000606,obimd-glyph-link-009105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥽,U+F397D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0014,obs-comp-cand-000606,obimd-glyph-link-009106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥾,U+F397E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0015,obs-comp-cand-000606,obimd-glyph-link-009107,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳥿,U+F397F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000606-glyph-0016,obs-comp-cand-000606,obimd-glyph-link-009108,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-s9y9vbblxa,󳦀,U+F3980,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
