glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000622-glyph-0001,obs-comp-cand-000622,obimd-glyph-link-009230,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,夫󳨵,U+592B;U+F3A35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0002,obs-comp-cand-000622,obimd-glyph-link-009231,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨶,U+F3A36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0003,obs-comp-cand-000622,obimd-glyph-link-009232,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨷,U+F3A37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0004,obs-comp-cand-000622,obimd-glyph-link-009233,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨸,U+F3A38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0005,obs-comp-cand-000622,obimd-glyph-link-009234,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨹,U+F3A39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0006,obs-comp-cand-000622,obimd-glyph-link-009235,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨺,U+F3A3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0007,obs-comp-cand-000622,obimd-glyph-link-009236,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨻,U+F3A3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0008,obs-comp-cand-000622,obimd-glyph-link-009237,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨼,U+F3A3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0009,obs-comp-cand-000622,obimd-glyph-link-009238,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨽,U+F3A3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0010,obs-comp-cand-000622,obimd-glyph-link-009239,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨾,U+F3A3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0011,obs-comp-cand-000622,obimd-glyph-link-009240,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳨿,U+F3A3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0012,obs-comp-cand-000622,obimd-glyph-link-009241,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩀,U+F3A40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0013,obs-comp-cand-000622,obimd-glyph-link-009242,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩁,U+F3A41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0014,obs-comp-cand-000622,obimd-glyph-link-009243,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩂,U+F3A42,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0015,obs-comp-cand-000622,obimd-glyph-link-009244,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩃,U+F3A43,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0016,obs-comp-cand-000622,obimd-glyph-link-009245,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩄,U+F3A44,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0017,obs-comp-cand-000622,obimd-glyph-link-009246,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩅,U+F3A45,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000622-glyph-0018,obs-comp-cand-000622,obimd-glyph-link-009247,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-61p261idyu,󳩆,U+F3A46,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
