glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000636-glyph-0001,obs-comp-cand-000636,obimd-glyph-link-009356,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,立󳫳,U+7ACB;U+F3AF3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0002,obs-comp-cand-000636,obimd-glyph-link-009357,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫴,U+F3AF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0003,obs-comp-cand-000636,obimd-glyph-link-009358,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫵,U+F3AF5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0004,obs-comp-cand-000636,obimd-glyph-link-009359,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫶,U+F3AF6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0005,obs-comp-cand-000636,obimd-glyph-link-009360,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫷,U+F3AF7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0006,obs-comp-cand-000636,obimd-glyph-link-009361,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫸,U+F3AF8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0007,obs-comp-cand-000636,obimd-glyph-link-009362,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫹,U+F3AF9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0008,obs-comp-cand-000636,obimd-glyph-link-009363,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫺,U+F3AFA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0009,obs-comp-cand-000636,obimd-glyph-link-009364,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫻,U+F3AFB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0010,obs-comp-cand-000636,obimd-glyph-link-009365,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫼,U+F3AFC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0011,obs-comp-cand-000636,obimd-glyph-link-009366,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫽,U+F3AFD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0012,obs-comp-cand-000636,obimd-glyph-link-009367,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫾,U+F3AFE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0013,obs-comp-cand-000636,obimd-glyph-link-009368,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳫿,U+F3AFF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0014,obs-comp-cand-000636,obimd-glyph-link-009369,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬀,U+F3B00,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0015,obs-comp-cand-000636,obimd-glyph-link-009370,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬁,U+F3B01,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0016,obs-comp-cand-000636,obimd-glyph-link-009371,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬂,U+F3B02,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0017,obs-comp-cand-000636,obimd-glyph-link-009372,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬃,U+F3B03,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0018,obs-comp-cand-000636,obimd-glyph-link-009373,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬄,U+F3B04,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0019,obs-comp-cand-000636,obimd-glyph-link-009374,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬅,U+F3B05,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0020,obs-comp-cand-000636,obimd-glyph-link-009375,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬆,U+F3B06,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0021,obs-comp-cand-000636,obimd-glyph-link-009376,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬇,U+F3B07,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0022,obs-comp-cand-000636,obimd-glyph-link-009377,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬈,U+F3B08,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0023,obs-comp-cand-000636,obimd-glyph-link-009378,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬉,U+F3B09,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0024,obs-comp-cand-000636,obimd-glyph-link-009379,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬊,U+F3B0A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000636-glyph-0025,obs-comp-cand-000636,obimd-glyph-link-009380,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-i44zmo51c7,󳬋,U+F3B0B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
