glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000639-glyph-0001,obs-comp-cand-000639,obimd-glyph-link-009454,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭰,U+F3B70,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0002,obs-comp-cand-000639,obimd-glyph-link-009455,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭱,U+F3B71,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0003,obs-comp-cand-000639,obimd-glyph-link-009456,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭲,U+F3B72,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0004,obs-comp-cand-000639,obimd-glyph-link-009457,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭳,U+F3B73,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0005,obs-comp-cand-000639,obimd-glyph-link-009458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭴,U+F3B74,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0006,obs-comp-cand-000639,obimd-glyph-link-009459,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭵,U+F3B75,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0007,obs-comp-cand-000639,obimd-glyph-link-009460,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭶,U+F3B76,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0008,obs-comp-cand-000639,obimd-glyph-link-009461,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭷,U+F3B77,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0009,obs-comp-cand-000639,obimd-glyph-link-009462,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭸,U+F3B78,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000639-glyph-0010,obs-comp-cand-000639,obimd-glyph-link-009463,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh1d6hr82z,󳭹,U+F3B79,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
