glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000651-glyph-0001,obs-comp-cand-000651,obimd-glyph-link-009585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰲,U+F3C32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0002,obs-comp-cand-000651,obimd-glyph-link-009586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰳,U+F3C33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0003,obs-comp-cand-000651,obimd-glyph-link-009587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰴,U+F3C34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0004,obs-comp-cand-000651,obimd-glyph-link-009588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰵,U+F3C35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0005,obs-comp-cand-000651,obimd-glyph-link-009589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰶,U+F3C36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0006,obs-comp-cand-000651,obimd-glyph-link-009590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰷,U+F3C37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0007,obs-comp-cand-000651,obimd-glyph-link-009591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰸,U+F3C38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0008,obs-comp-cand-000651,obimd-glyph-link-009592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰹,U+F3C39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0009,obs-comp-cand-000651,obimd-glyph-link-009593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰺,U+F3C3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0010,obs-comp-cand-000651,obimd-glyph-link-009594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰼,U+F3C3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0011,obs-comp-cand-000651,obimd-glyph-link-009595,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰽,U+F3C3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000651-glyph-0012,obs-comp-cand-000651,obimd-glyph-link-009596,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-815uzds8hy,󳰾,U+F3C3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
