glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000653-glyph-0001,obs-comp-cand-000653,obimd-glyph-link-009602,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󉽁󳱈,U+C9F41;U+F3C48,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0002,obs-comp-cand-000653,obimd-glyph-link-009603,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱉,U+F3C49,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0003,obs-comp-cand-000653,obimd-glyph-link-009604,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱊,U+F3C4A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0004,obs-comp-cand-000653,obimd-glyph-link-009605,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱋,U+F3C4B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0005,obs-comp-cand-000653,obimd-glyph-link-009606,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱌,U+F3C4C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0006,obs-comp-cand-000653,obimd-glyph-link-009607,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱍,U+F3C4D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0007,obs-comp-cand-000653,obimd-glyph-link-009608,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱎,U+F3C4E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0008,obs-comp-cand-000653,obimd-glyph-link-009609,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱏,U+F3C4F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0009,obs-comp-cand-000653,obimd-glyph-link-009610,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱐,U+F3C50,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0010,obs-comp-cand-000653,obimd-glyph-link-009611,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱑,U+F3C51,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0011,obs-comp-cand-000653,obimd-glyph-link-009612,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱒,U+F3C52,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000653-glyph-0012,obs-comp-cand-000653,obimd-glyph-link-009613,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e33qe36es7,󳱓,U+F3C53,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
