glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000661-glyph-0001,obs-comp-cand-000661,obimd-glyph-link-009687,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,異󳳔,U+7570;U+F3CD4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0002,obs-comp-cand-000661,obimd-glyph-link-009688,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳕,U+F3CD5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0003,obs-comp-cand-000661,obimd-glyph-link-009689,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳖,U+F3CD6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0004,obs-comp-cand-000661,obimd-glyph-link-009690,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳗,U+F3CD7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0005,obs-comp-cand-000661,obimd-glyph-link-009691,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳘,U+F3CD8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0006,obs-comp-cand-000661,obimd-glyph-link-009692,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳙,U+F3CD9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0007,obs-comp-cand-000661,obimd-glyph-link-009693,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳚,U+F3CDA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0008,obs-comp-cand-000661,obimd-glyph-link-009694,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳛,U+F3CDB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0009,obs-comp-cand-000661,obimd-glyph-link-009695,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳝,U+F3CDD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0010,obs-comp-cand-000661,obimd-glyph-link-009696,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳞,U+F3CDE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0011,obs-comp-cand-000661,obimd-glyph-link-009697,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳟,U+F3CDF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0012,obs-comp-cand-000661,obimd-glyph-link-009698,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳠,U+F3CE0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0013,obs-comp-cand-000661,obimd-glyph-link-009699,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳡,U+F3CE1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0014,obs-comp-cand-000661,obimd-glyph-link-009700,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳢,U+F3CE2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0015,obs-comp-cand-000661,obimd-glyph-link-009701,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳣,U+F3CE3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000661-glyph-0016,obs-comp-cand-000661,obimd-glyph-link-009702,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6m1qvxsh3e,󳳤,U+F3CE4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
