glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000676-glyph-0001,obs-comp-cand-000676,obimd-glyph-link-009889,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,並竝󳸶,U+4E26;U+7ADD;U+F3E36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0002,obs-comp-cand-000676,obimd-glyph-link-009890,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸷,U+F3E37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0003,obs-comp-cand-000676,obimd-glyph-link-009891,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸸,U+F3E38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0004,obs-comp-cand-000676,obimd-glyph-link-009892,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸹,U+F3E39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0005,obs-comp-cand-000676,obimd-glyph-link-009893,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸺,U+F3E3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0006,obs-comp-cand-000676,obimd-glyph-link-009894,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸻,U+F3E3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0007,obs-comp-cand-000676,obimd-glyph-link-009895,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸼,U+F3E3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0008,obs-comp-cand-000676,obimd-glyph-link-009896,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸽,U+F3E3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0009,obs-comp-cand-000676,obimd-glyph-link-009897,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸾,U+F3E3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0010,obs-comp-cand-000676,obimd-glyph-link-009898,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳸿,U+F3E3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0011,obs-comp-cand-000676,obimd-glyph-link-009899,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹀,U+F3E40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0012,obs-comp-cand-000676,obimd-glyph-link-009900,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹁,U+F3E41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0013,obs-comp-cand-000676,obimd-glyph-link-009901,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹂,U+F3E42,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0014,obs-comp-cand-000676,obimd-glyph-link-009902,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹃,U+F3E43,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0015,obs-comp-cand-000676,obimd-glyph-link-009903,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹄,U+F3E44,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000676-glyph-0016,obs-comp-cand-000676,obimd-glyph-link-009904,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xmfpjivigx,󳹅,U+F3E45,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
