glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000697-glyph-0001,obs-comp-cand-000697,obimd-glyph-link-010079,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,黃󳾜,U+9EC3;U+F3F9C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0002,obs-comp-cand-000697,obimd-glyph-link-010080,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾝,U+F3F9D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0003,obs-comp-cand-000697,obimd-glyph-link-010081,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾞,U+F3F9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0004,obs-comp-cand-000697,obimd-glyph-link-010082,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾟,U+F3F9F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0005,obs-comp-cand-000697,obimd-glyph-link-010083,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾠,U+F3FA0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0006,obs-comp-cand-000697,obimd-glyph-link-010084,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾡,U+F3FA1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0007,obs-comp-cand-000697,obimd-glyph-link-010085,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾢,U+F3FA2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0008,obs-comp-cand-000697,obimd-glyph-link-010086,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾣,U+F3FA3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0009,obs-comp-cand-000697,obimd-glyph-link-010087,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾤,U+F3FA4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0010,obs-comp-cand-000697,obimd-glyph-link-010088,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾥,U+F3FA5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000697-glyph-0011,obs-comp-cand-000697,obimd-glyph-link-010089,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-oh2hn4qlz0,󳾦,U+F3FA6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
