glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000778-glyph-0001,obs-comp-cand-000778,obimd-glyph-link-011263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚧,U+F46A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0002,obs-comp-cand-000778,obimd-glyph-link-011264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚨,U+F46A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0003,obs-comp-cand-000778,obimd-glyph-link-011265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚩,U+F46A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0004,obs-comp-cand-000778,obimd-glyph-link-011266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚪,U+F46AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0005,obs-comp-cand-000778,obimd-glyph-link-011267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚫,U+F46AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0006,obs-comp-cand-000778,obimd-glyph-link-011268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚬,U+F46AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0007,obs-comp-cand-000778,obimd-glyph-link-011269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚭,U+F46AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0008,obs-comp-cand-000778,obimd-glyph-link-011270,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚮,U+F46AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0009,obs-comp-cand-000778,obimd-glyph-link-011271,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚯,U+F46AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0010,obs-comp-cand-000778,obimd-glyph-link-011272,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚰,U+F46B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000778-glyph-0011,obs-comp-cand-000778,obimd-glyph-link-011273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xrunr8ile9,󴚱,U+F46B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
