glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000802-glyph-0001,obs-comp-cand-000802,obimd-glyph-link-011615,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,并󴢽,U+5E76;U+F48BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0002,obs-comp-cand-000802,obimd-glyph-link-011616,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴢾,U+F48BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0003,obs-comp-cand-000802,obimd-glyph-link-011617,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴢿,U+F48BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0004,obs-comp-cand-000802,obimd-glyph-link-011618,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣀,U+F48C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0005,obs-comp-cand-000802,obimd-glyph-link-011619,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣁,U+F48C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0006,obs-comp-cand-000802,obimd-glyph-link-011620,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣂,U+F48C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0007,obs-comp-cand-000802,obimd-glyph-link-011621,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣃,U+F48C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0008,obs-comp-cand-000802,obimd-glyph-link-011622,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣄,U+F48C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0009,obs-comp-cand-000802,obimd-glyph-link-011623,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣅,U+F48C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0010,obs-comp-cand-000802,obimd-glyph-link-011624,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣆,U+F48C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000802-glyph-0011,obs-comp-cand-000802,obimd-glyph-link-011625,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cawhttc4j5,󴣇,U+F48C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
