glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000835-glyph-0001,obs-comp-cand-000835,obimd-glyph-link-011906,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,巴󴬌,U+5DF4;U+F4B0C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0002,obs-comp-cand-000835,obimd-glyph-link-011907,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬍,U+F4B0D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0003,obs-comp-cand-000835,obimd-glyph-link-011908,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬎,U+F4B0E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0004,obs-comp-cand-000835,obimd-glyph-link-011909,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬏,U+F4B0F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0005,obs-comp-cand-000835,obimd-glyph-link-011910,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬐,U+F4B10,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0006,obs-comp-cand-000835,obimd-glyph-link-011911,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬑,U+F4B11,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0007,obs-comp-cand-000835,obimd-glyph-link-011912,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬒,U+F4B12,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0008,obs-comp-cand-000835,obimd-glyph-link-011913,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬓,U+F4B13,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0009,obs-comp-cand-000835,obimd-glyph-link-011914,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬔,U+F4B14,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0010,obs-comp-cand-000835,obimd-glyph-link-011915,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬕,U+F4B15,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0011,obs-comp-cand-000835,obimd-glyph-link-011916,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬖,U+F4B16,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0012,obs-comp-cand-000835,obimd-glyph-link-011917,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬗,U+F4B17,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000835-glyph-0013,obs-comp-cand-000835,obimd-glyph-link-011918,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e5bj1m9m2e,󴬘,U+F4B18,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
