glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000836-glyph-0001,obs-comp-cand-000836,obimd-glyph-link-011919,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,邑󴬩,U+9091;U+F4B29,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0002,obs-comp-cand-000836,obimd-glyph-link-011920,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬪,U+F4B2A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0003,obs-comp-cand-000836,obimd-glyph-link-011921,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬫,U+F4B2B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0004,obs-comp-cand-000836,obimd-glyph-link-011922,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬬,U+F4B2C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0005,obs-comp-cand-000836,obimd-glyph-link-011923,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬭,U+F4B2D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0006,obs-comp-cand-000836,obimd-glyph-link-011924,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬮,U+F4B2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0007,obs-comp-cand-000836,obimd-glyph-link-011925,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬯,U+F4B2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0008,obs-comp-cand-000836,obimd-glyph-link-011926,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬰,U+F4B30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0009,obs-comp-cand-000836,obimd-glyph-link-011927,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬱,U+F4B31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0010,obs-comp-cand-000836,obimd-glyph-link-011928,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬲,U+F4B32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000836-glyph-0011,obs-comp-cand-000836,obimd-glyph-link-011929,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x4t1t00zpg,󴬳,U+F4B33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
