glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000845-glyph-0001,obs-comp-cand-000845,obimd-glyph-link-012097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰕,U+F4C15,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0002,obs-comp-cand-000845,obimd-glyph-link-012098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰖,U+F4C16,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0003,obs-comp-cand-000845,obimd-glyph-link-012099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰗,U+F4C17,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0004,obs-comp-cand-000845,obimd-glyph-link-012100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰘,U+F4C18,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0005,obs-comp-cand-000845,obimd-glyph-link-012101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰙,U+F4C19,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0006,obs-comp-cand-000845,obimd-glyph-link-012102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰚,U+F4C1A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0007,obs-comp-cand-000845,obimd-glyph-link-012103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰛,U+F4C1B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0008,obs-comp-cand-000845,obimd-glyph-link-012104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰜,U+F4C1C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0009,obs-comp-cand-000845,obimd-glyph-link-012105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰝,U+F4C1D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0010,obs-comp-cand-000845,obimd-glyph-link-012106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰞,U+F4C1E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0011,obs-comp-cand-000845,obimd-glyph-link-012107,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰟,U+F4C1F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000845-glyph-0012,obs-comp-cand-000845,obimd-glyph-link-012108,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yghzghvkfk,󴰠,U+F4C20,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
