glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000854-glyph-0001,obs-comp-cand-000854,obimd-glyph-link-012152,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,令󴲨,U+4EE4;U+F4CA8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0002,obs-comp-cand-000854,obimd-glyph-link-012153,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲩,U+F4CA9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0003,obs-comp-cand-000854,obimd-glyph-link-012154,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲪,U+F4CAA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0004,obs-comp-cand-000854,obimd-glyph-link-012155,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲫,U+F4CAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0005,obs-comp-cand-000854,obimd-glyph-link-012156,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲬,U+F4CAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0006,obs-comp-cand-000854,obimd-glyph-link-012157,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲭,U+F4CAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0007,obs-comp-cand-000854,obimd-glyph-link-012158,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲮,U+F4CAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0008,obs-comp-cand-000854,obimd-glyph-link-012159,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲯,U+F4CAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0009,obs-comp-cand-000854,obimd-glyph-link-012160,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲰,U+F4CB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0010,obs-comp-cand-000854,obimd-glyph-link-012161,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲱,U+F4CB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0011,obs-comp-cand-000854,obimd-glyph-link-012162,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲲,U+F4CB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0012,obs-comp-cand-000854,obimd-glyph-link-012163,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲳,U+F4CB3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0013,obs-comp-cand-000854,obimd-glyph-link-012164,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲴,U+F4CB4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0014,obs-comp-cand-000854,obimd-glyph-link-012165,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲵,U+F4CB5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0015,obs-comp-cand-000854,obimd-glyph-link-012166,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲶,U+F4CB6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0016,obs-comp-cand-000854,obimd-glyph-link-012167,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲷,U+F4CB7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0017,obs-comp-cand-000854,obimd-glyph-link-012168,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲸,U+F4CB8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0018,obs-comp-cand-000854,obimd-glyph-link-012169,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲹,U+F4CB9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0019,obs-comp-cand-000854,obimd-glyph-link-012170,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲺,U+F4CBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0020,obs-comp-cand-000854,obimd-glyph-link-012171,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲻,U+F4CBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0021,obs-comp-cand-000854,obimd-glyph-link-012172,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲼,U+F4CBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0022,obs-comp-cand-000854,obimd-glyph-link-012173,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲽,U+F4CBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0023,obs-comp-cand-000854,obimd-glyph-link-012174,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲾,U+F4CBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0024,obs-comp-cand-000854,obimd-glyph-link-012175,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴲿,U+F4CBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0025,obs-comp-cand-000854,obimd-glyph-link-012176,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴳀,U+F4CC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000854-glyph-0026,obs-comp-cand-000854,obimd-glyph-link-012177,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ji97td3npi,󴳁,U+F4CC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
