glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000855-glyph-0001,obs-comp-cand-000855,obimd-glyph-link-012281,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴭,U+F4D2D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0002,obs-comp-cand-000855,obimd-glyph-link-012282,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴮,U+F4D2E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0003,obs-comp-cand-000855,obimd-glyph-link-012283,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴯,U+F4D2F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0004,obs-comp-cand-000855,obimd-glyph-link-012284,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴰,U+F4D30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0005,obs-comp-cand-000855,obimd-glyph-link-012285,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴱,U+F4D31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0006,obs-comp-cand-000855,obimd-glyph-link-012286,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴲,U+F4D32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0007,obs-comp-cand-000855,obimd-glyph-link-012287,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴳,U+F4D33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0008,obs-comp-cand-000855,obimd-glyph-link-012288,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴴,U+F4D34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0009,obs-comp-cand-000855,obimd-glyph-link-012289,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴵,U+F4D35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000855-glyph-0010,obs-comp-cand-000855,obimd-glyph-link-012290,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fz1qkbjoia,󴴶,U+F4D36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
