glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000856-glyph-0001,obs-comp-cand-000856,obimd-glyph-link-012311,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,若󴵙,U+82E5;U+F4D59,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0002,obs-comp-cand-000856,obimd-glyph-link-012312,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵚,U+F4D5A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0003,obs-comp-cand-000856,obimd-glyph-link-012313,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵛,U+F4D5B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0004,obs-comp-cand-000856,obimd-glyph-link-012314,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵜,U+F4D5C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0005,obs-comp-cand-000856,obimd-glyph-link-012315,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵝,U+F4D5D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0006,obs-comp-cand-000856,obimd-glyph-link-012316,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵞,U+F4D5E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0007,obs-comp-cand-000856,obimd-glyph-link-012317,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵟,U+F4D5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0008,obs-comp-cand-000856,obimd-glyph-link-012318,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵠,U+F4D60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0009,obs-comp-cand-000856,obimd-glyph-link-012319,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵡,U+F4D61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0010,obs-comp-cand-000856,obimd-glyph-link-012320,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵢,U+F4D62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000856-glyph-0011,obs-comp-cand-000856,obimd-glyph-link-012321,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1k9ogi7w79,󴵣,U+F4D63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
