glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000884-glyph-0001,obs-comp-cand-000884,obimd-glyph-link-012719,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,印抑󴽢,U+5370;U+6291;U+F4F62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0002,obs-comp-cand-000884,obimd-glyph-link-012720,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽣,U+F4F63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0003,obs-comp-cand-000884,obimd-glyph-link-012721,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽤,U+F4F64,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0004,obs-comp-cand-000884,obimd-glyph-link-012722,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽥,U+F4F65,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0005,obs-comp-cand-000884,obimd-glyph-link-012723,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽦,U+F4F66,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0006,obs-comp-cand-000884,obimd-glyph-link-012724,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽧,U+F4F67,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0007,obs-comp-cand-000884,obimd-glyph-link-012725,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽩,U+F4F69,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0008,obs-comp-cand-000884,obimd-glyph-link-012726,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽪,U+F4F6A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0009,obs-comp-cand-000884,obimd-glyph-link-012727,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽫,U+F4F6B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0010,obs-comp-cand-000884,obimd-glyph-link-012728,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽬,U+F4F6C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0011,obs-comp-cand-000884,obimd-glyph-link-012729,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽭,U+F4F6D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0012,obs-comp-cand-000884,obimd-glyph-link-012730,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽮,U+F4F6E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000884-glyph-0013,obs-comp-cand-000884,obimd-glyph-link-012731,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bwfz1jvlck,󴽯,U+F4F6F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
