glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000896-glyph-0001,obs-comp-cand-000896,obimd-glyph-link-012846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,丮󵀛,U+4E2E;U+F501B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0002,obs-comp-cand-000896,obimd-glyph-link-012847,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀜,U+F501C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0003,obs-comp-cand-000896,obimd-glyph-link-012848,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀝,U+F501D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0004,obs-comp-cand-000896,obimd-glyph-link-012849,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀞,U+F501E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0005,obs-comp-cand-000896,obimd-glyph-link-012850,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀟,U+F501F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0006,obs-comp-cand-000896,obimd-glyph-link-012851,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀠,U+F5020,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0007,obs-comp-cand-000896,obimd-glyph-link-012852,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀡,U+F5021,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0008,obs-comp-cand-000896,obimd-glyph-link-012853,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀢,U+F5022,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0009,obs-comp-cand-000896,obimd-glyph-link-012854,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀣,U+F5023,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0010,obs-comp-cand-000896,obimd-glyph-link-012855,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀤,U+F5024,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000896-glyph-0011,obs-comp-cand-000896,obimd-glyph-link-012856,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ehcz1jiv3d,󵀥,U+F5025,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
