glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000911-glyph-0001,obs-comp-cand-000911,obimd-glyph-link-013170,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,妻󵇢,U+59BB;U+F51E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0002,obs-comp-cand-000911,obimd-glyph-link-013171,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇣,U+F51E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0003,obs-comp-cand-000911,obimd-glyph-link-013172,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇤,U+F51E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0004,obs-comp-cand-000911,obimd-glyph-link-013173,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇥,U+F51E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0005,obs-comp-cand-000911,obimd-glyph-link-013174,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇦,U+F51E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0006,obs-comp-cand-000911,obimd-glyph-link-013175,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇧,U+F51E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0007,obs-comp-cand-000911,obimd-glyph-link-013176,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇨,U+F51E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0008,obs-comp-cand-000911,obimd-glyph-link-013177,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇩,U+F51E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0009,obs-comp-cand-000911,obimd-glyph-link-013178,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇪,U+F51EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0010,obs-comp-cand-000911,obimd-glyph-link-013179,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇫,U+F51EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0011,obs-comp-cand-000911,obimd-glyph-link-013180,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇬,U+F51EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0012,obs-comp-cand-000911,obimd-glyph-link-013181,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇭,U+F51ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000911-glyph-0013,obs-comp-cand-000911,obimd-glyph-link-013182,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7p7pi5fxkj,󵇮,U+F51EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
