glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000915-glyph-0001,obs-comp-cand-000915,obimd-glyph-link-013218,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,妾󵉝,U+59BE;U+F525D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0002,obs-comp-cand-000915,obimd-glyph-link-013219,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉞,U+F525E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0003,obs-comp-cand-000915,obimd-glyph-link-013220,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉟,U+F525F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0004,obs-comp-cand-000915,obimd-glyph-link-013221,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉠,U+F5260,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0005,obs-comp-cand-000915,obimd-glyph-link-013222,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉡,U+F5261,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0006,obs-comp-cand-000915,obimd-glyph-link-013223,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉢,U+F5262,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0007,obs-comp-cand-000915,obimd-glyph-link-013224,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉣,U+F5263,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0008,obs-comp-cand-000915,obimd-glyph-link-013225,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉤,U+F5264,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0009,obs-comp-cand-000915,obimd-glyph-link-013226,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉥,U+F5265,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0010,obs-comp-cand-000915,obimd-glyph-link-013227,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉦,U+F5266,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000915-glyph-0011,obs-comp-cand-000915,obimd-glyph-link-013228,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-csyhzui9uc,󵉧,U+F5267,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
