glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000929-glyph-0001,obs-comp-cand-000929,obimd-glyph-link-013361,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,妥󵌿,U+59A5;U+F533F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0002,obs-comp-cand-000929,obimd-glyph-link-013362,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍀,U+F5340,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0003,obs-comp-cand-000929,obimd-glyph-link-013363,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍁,U+F5341,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0004,obs-comp-cand-000929,obimd-glyph-link-013364,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍂,U+F5342,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0005,obs-comp-cand-000929,obimd-glyph-link-013365,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍃,U+F5343,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0006,obs-comp-cand-000929,obimd-glyph-link-013366,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍄,U+F5344,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0007,obs-comp-cand-000929,obimd-glyph-link-013367,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍅,U+F5345,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0008,obs-comp-cand-000929,obimd-glyph-link-013368,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍆,U+F5346,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0009,obs-comp-cand-000929,obimd-glyph-link-013369,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍇,U+F5347,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0010,obs-comp-cand-000929,obimd-glyph-link-013370,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍈,U+F5348,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000929-glyph-0011,obs-comp-cand-000929,obimd-glyph-link-013371,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fzkl7e4vel,󵍉,U+F5349,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
