glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000947-glyph-0001,obs-comp-cand-000947,obimd-glyph-link-013612,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,訊󵓒,U+8A0A;U+F54D2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0002,obs-comp-cand-000947,obimd-glyph-link-013613,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓓,U+F54D3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0003,obs-comp-cand-000947,obimd-glyph-link-013614,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓔,U+F54D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0004,obs-comp-cand-000947,obimd-glyph-link-013615,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓕,U+F54D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0005,obs-comp-cand-000947,obimd-glyph-link-013616,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓖,U+F54D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0006,obs-comp-cand-000947,obimd-glyph-link-013617,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓗,U+F54D7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0007,obs-comp-cand-000947,obimd-glyph-link-013618,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓘,U+F54D8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0008,obs-comp-cand-000947,obimd-glyph-link-013619,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓙,U+F54D9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0009,obs-comp-cand-000947,obimd-glyph-link-013620,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓚,U+F54DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0010,obs-comp-cand-000947,obimd-glyph-link-013621,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓛,U+F54DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0011,obs-comp-cand-000947,obimd-glyph-link-013622,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓜,U+F54DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000947-glyph-0012,obs-comp-cand-000947,obimd-glyph-link-013623,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fmueu74w0p,󵓝,U+F54DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
